Date,Close,High,Low,Open,Volume,Returns
5/23/2023,27225.72656,27434.68359,26816.17969,26855.96094,13697203143,0.013945304
5/24/2023,26334.81836,27224.60352,26106.57617,27224.60352,16299104428,-0.032723028
5/25/2023,26476.20703,26591.51953,25890.59375,26329.46094,13851122697,0.005368887
5/26/2023,26719.29102,26916.66992,26343.94922,26474.18164,12711619225,0.009181224
5/27/2023,26868.35352,26888.88281,26621.14063,26720.18164,7892015141,0.005578834
5/28/2023,28085.64648,28193.44922,26802.75195,26871.1582,14545229578,0.045305827
5/29/2023,27745.88477,28432.03906,27563.87695,28075.5918,15181308984,-0.012097344
5/30/2023,27702.34961,28044.75977,27588.50195,27745.12305,13251081851,-0.001569067
5/31/2023,27219.6582,27831.67773,26866.45313,27700.5293,15656371534,-0.017424205
6/1/2023,26819.97266,27346.10547,26671.7207,27218.41211,14678970415,-0.014683709
6/2/2023,27249.58984,27303.86133,26574.64453,26824.55664,14837415000,0.016018554
6/3/2023,27075.12891,27317.05273,26958.00391,27252.32422,8385597470,-0.006402333
6/4/2023,27119.06641,27407.01953,26968.22461,27075.12305,9360912318,0.001622799
6/5/2023,25760.09766,27129.98242,25445.16797,27123.10938,21513292646,-0.050111192
6/6/2023,27238.7832,27313.82031,25434.86719,25732.10938,21929670693,0.057402172
6/7/2023,26345.99805,27332.18164,26146.98828,27235.65039,19530045082,-0.03277625
6/8/2023,26508.2168,26797.51367,26246.66406,26347.6543,11904824295,0.006157244
6/9/2023,26480.375,26770.28906,26339.31445,26505.92383,11015551640,-0.001050308
6/10/2023,25851.24023,26531.04492,25501.83594,26481.76172,19872933189,-0.023758529
6/11/2023,25940.16797,26203.43945,25668.98633,25854.03125,10732609603,0.003439979
6/12/2023,25902.5,26087.91992,25675.19727,25934.28516,11677889997,-0.00145211
6/13/2023,25918.72852,26376.35156,25728.36523,25902.94141,14143474486,0.000626523
6/14/2023,25124.67578,26041.80078,24902.15234,25920.25781,14265717766,-0.030636253
6/15/2023,25576.39453,25735.30859,24797.16797,25121.67383,15837384409,0.017979088
6/16/2023,26327.46289,26463.17383,25245.35742,25575.2832,16324646965,0.029365686
6/17/2023,26510.67578,26769.39453,26174.49219,26328.67969,11090276850,0.006959003
6/18/2023,26336.21289,26675.92578,26325.89063,26510.45703,9565695129,-0.006580854
6/19/2023,26851.0293,26984.61133,26312.83203,26335.44141,12826986222,0.019547853
6/20/2023,28327.48828,28388.96875,26668.79102,26841.66406,22211859147,0.054987053
6/21/2023,30027.29688,30737.33008,28283.41016,28311.31055,33346760979,0.060005623
6/22/2023,29912.28125,30495.99805,29679.1582,29995.93555,20653160491,-0.003830369
6/23/2023,30695.46875,31389.53906,29845.21484,29896.38281,24115570085,0.026182807
6/24/2023,30548.69531,30804.14844,30290.14648,30708.73828,12147822496,-0.004781599
6/25/2023,30480.26172,31041.27148,30327.94336,30545.15039,12703464114,-0.002240148
